Date,PM10,PM2.5,O3,NO2,CO,SO2,D-10,D-12,B-06,temp,use_count
2020-02-19,-0.309451798,0.377816914,-1.098142819,1.193529489,1.201425622,1.043327284,-2.309097444,0.412576732,-1.093900139,-1.239766594,-1.214742647
2020-02-20,0.43668517,1.865878143,-1.265293762,1.352059525,2.3906499,2.126668541,-2.357459613,0.485337358,-1.154341689,-0.883045648,-1.100235906
2020-02-21,0.663770334,2.386699573,-0.763840935,1.431324544,1.796037761,2.126668541,-2.312966418,0.452999302,-1.079843964,-0.67495843,-1.329249388
2020-02-22,0.534007383,1.345056713,0.740517547,-1.105156042,0.606813483,1.043327284,-3.062580034,0.453244288,-1.47447106,-0.942499139,-1.626966915
2020-02-23,-0.568977699,-0.440616762,0.155489249,-0.391770877,0.0122013435,1.043327284,-3.861108529,-0.126635854,-3.135032361,-1.091132866,-1.226193321
2020-02-24,-0.309451798,0.00580160671,-0.763840935,1.11426447,0.606813483,2.126668541,-2.79341002,0.142970439,-1.544927634,-0.645231684,-1.191841299
2020-02-25,-0.601418437,-0.440616762,-0.178812636,-0.153975822,0.0122013435,1.043327284,-3.282282457,-0.294818244,-1.798817284,-0.67495843,-1.455206803
2020-02-26,-0.763622126,-0.738229008,-0.262388107,-0.391770877,0.0122013435,1.043327284,-2.934351198,0.286286824,-1.949921158,-0.704685175,-1.271996018
2020-02-27,-0.925825814,-1.035841254,-0.178812636,-0.788095968,-0.582410796,-0.0400139725,-2.703594564,0.366764486,-1.867341134,-0.734411921,-1.191841299
2020-02-28,-0.568977699,-0.217407578,-1.265293762,0.797204397,0.606813483,1.043327284,-3.04475512,0.0496310504,-1.757878676,-0.892954563,-1.615516241
2020-02-29,-0.568977699,-0.217407578,-0.596689992,0.0838192327,0.606813483,1.043327284,-3.44270668,0.341286018,-2.466661269,-0.575869278,-1.30634804
2020-03-01,0.0149555795,0.973041406,-0.763840935,0.163084251,1.201425622,1.043327284,-2.076682679,-0.685447261,-2.704737722,-0.764138666,-1.397953433
2020-03-02,-0.0499258959,0.898638344,0.406215662,-0.70883095,0.0122013435,1.043327284,-0.0703435636,0.348513083,-0.349274301,-1.00195263,-1.283446692
2020-03-03,0.0473963172,1.047444467,-0.262388107,0.242349269,0.606813483,1.043327284,-0.0608093075,0.445037281,-0.401106444,-0.863227818,-1.146038603
2020-03-04,0.177159268,1.345056713,0.991243961,-1.18442106,0.0122013435,1.043327284,-0.153802849,0.540887769,-0.466291953,-1.120859612,-1.283446692
2020-03-05,-0.114807371,0.749832221,0.406215662,-0.70883095,0.0122013435,1.043327284,0.0603724696,0.537090497,-0.171815099,-1.200130933,-1.271996018
2020-03-06,-0.114807371,0.67542916,-1.014567348,1.431324544,1.201425622,2.126668541,0.353170857,0.590558533,0.0342835573,-0.972225885,-1.237643995
2020-03-07,0.209600006,1.270653651,-0.763840935,1.352059525,1.796037761,2.126668541,-0.125890969,0.421089971,-0.653590476,-0.645231684,-1.237643995
2020-03-08,0.404244432,1.791475082,0.0719137776,0.717939379,1.201425622,2.126668541,-1.445901821,-0.405306602,-1.639279705,-0.417326636,-0.66511029
2020-03-09,0.306922219,1.568265897,-0.0952371649,0.876469416,0.606813483,2.126668541,0.0357768524,0.276548659,0.0105637631,-0.238966163,-0.80251838
2020-03-10,-0.244570322,0.452219975,0.656942076,-1.105156042,0.0122013435,-0.0400139725,-0.384421305,0.0245813062,-0.573645985,-0.704685175,-1.5010095
2020-03-11,-0.471655486,-0.366213701,0.23906472,-1.025891023,-0.582410796,1.043327284,0.352479969,0.569612292,0.451751936,-0.962316969,-1.157489277
2020-03-12,-0.471655486,-0.366213701,-0.847416406,0.480144324,0.606813483,1.043327284,0.240417915,0.651008649,0.0710053129,-0.665049515,-1.077334558
2020-03-13,-0.179688847,-0.440616762,0.573366605,-1.263686078,-1.771635074,1.043327284,-0.0649546363,0.0479161534,-0.164962714,-0.853318903,-1.134587928
2020-03-14,0.177159268,0.0802046682,0.406215662,-0.788095968,0.0122013435,1.043327284,0.0708739691,0.524535002,-0.0753546028,-0.9821348,-1.123137254
2020-03-15,0.209600006,-0.143004516,0.406215662,-1.105156042,0.0122013435,1.043327284,-1.447283597,-0.372846053,-1.894926376,-0.942499139,-1.317798714
2020-03-16,-0.341892535,-0.440616762,0.0719137776,-0.867360987,-0.582410796,1.043327284,0.206426219,0.493483119,0.253384175,-0.9821348,-1.203291973
2020-03-17,0.469125908,0.15460773,-0.42953905,0.400879306,0.0122013435,1.043327284,0.0940878101,0.560057867,-0.223647243,-0.684867345,-1.065883884
2020-03-18,0.85841476,1.121847528,-0.42953905,1.272794507,1.796037761,2.126668541,0.37624652,0.695779708,0.206647396,-0.34796423,-1.123137254
2020-03-19,0.728651809,0.303413853,0.740517547,-0.550300914,0.0122013435,1.043327284,0.0450347533,0.589272361,-0.259666189,-0.437144466,-1.329249388
2020-03-20,0.14471853,-0.738229008,0.0719137776,-0.471035895,-0.582410796,1.043327284,0.725006846,0.791262718,0.702830351,-0.466871212,-1.088785232
2020-03-21,0.598888858,-0.143004516,0.656942076,-0.153975822,0.0122013435,2.126668541,0.236548942,0.591538474,-0.0402141669,-0.0705146055,-0.894123772
2020-03-22,0.14471853,-0.217407578,0.991243961,-1.501481133,-0.582410796,1.043327284,-0.994060987,-0.343937791,-1.043122209,-0.248875078,-0.985729165
2020-03-23,0.43668517,0.526623037,0.824093018,-0.312505859,0.0122013435,2.126668541,0.207393463,0.527046101,0.277455374,-0.288510739,-0.997179839
2020-03-24,0.696211072,0.973041406,0.406215662,0.0838192327,0.606813483,2.126668541,0.292096347,0.48147884,-1.815860395,-0.209239418,-1.008630513
2020-03-25,0.43668517,0.749832221,0.406215662,0.559409342,0.606813483,2.126668541,0.364501422,0.533783196,0.308730362,-0.100241351,-0.791067705
2020-03-26,0.43668517,0.749832221,0.824093018,0.163084251,0.606813483,2.126668541,0.301768781,0.601766609,0.197686584,0.127663698,-1.088785232
2020-03-27,0.0798370549,-0.0686014547,0.740517547,-1.422216115,-0.582410796,-0.0400139725,0.552975703,0.731547558,0.463875387,-0.159694842,-1.05443321
2020-03-28,-0.0174851582,-0.887035131,0.740517547,-1.580746151,-1.177022935,1.043327284,0.316415609,0.655602123,0.187495858,-0.575869278,-0.951377143
2020-03-29,0.14471853,-0.217407578,0.406215662,-0.867360987,-0.582410796,1.043327284,-1.032750722,-0.280792837,-1.145380877,-0.476780127,-0.584955572
2020-03-30,0.404244432,0.452219975,-0.178812636,0.638674361,0.606813483,2.126668541,0.248432217,0.504752441,0.396757154,-0.3281464,-0.813969054
